storyId,sceneId,viewType,characterName,dialogueText,nextSceneId,isChoice,choice1Text,choice1Percentage,choice1NextSceneId,choice2Text,choice2Percentage,choice2NextSceneId,background,TalkingPeople,LeftCharacter,CenterCharacter,RightCharacter,OneCharacter,TwoCharacter,OnePerson,bgm
bad_kakusan_story1,Scene0,start,,公園で今日もセシルと遊ぶんだ！,Scene1,FALSE,,,,,,,Sky,,,,,,,,
bad_kakusan_story1,Scene1,start,,今日が何して遊ぼうかな〜？,Scene2,FALSE,,,,,,,Sky,,,,,,,,
bad_kakusan_story1,Scene2,dialogue,コニー,今日風強いね〜,Scene3,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene3,dialogue,セシル,それな。せっかく遊びに来たのにもったいないねー,Scene4,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene4,dialogue,コニー,あんまり気にせず遊ぼ！,Scene5,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene5,dialogue,コニー,この前言ってたクラスで流行ってるダンス動画撮ってSNSにアップしようよ！,Scene6,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene6,dialogue,セシル,それいいね！じゃあ先に｜私《わたし》｜踊《おど》るから動画｜撮《と》っててよ！,Scene7,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene7,dialogue,コニー,もちろん！｜任《まか》せて,Scene8,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene8,dialogue,コニー,じゃあ行くよ,Scene9,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene9,dialogue,,（動画）,Scene10,FALSE,,,,,,,park,Two,,,,,,,
bad_kakusan_story1,Scene10,dialogue,セシル,きゃーーーーーーー！,Scene11,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_surprised,,
bad_kakusan_story1,Scene11,dialogue,コニー,やば！パンツ見えてるよ｜笑《わら》,Scene12,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_surprised,,
bad_kakusan_story1,Scene12,dialogue,セシル,やだ〜｜笑《わら》もう｜恥《はず》かしい,Scene13,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_surprised,,
bad_kakusan_story1,Scene13,dialogue,,,,TRUE,やばい動画撮れちゃった！,0,Scene14,この動画は恥ずかしすぎる笑,1,Scene15,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene14,dialogue,セシル,動画は絶対消してね！！,Scene15,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene15,dialogue,,,,TRUE,（まじでセシル面白い！この動画勝手に広めちゃお）,1,Scene18,わかってるけど、面白すぎるからみんなに送らせて！笑,0,Scene16,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene16,dialogue,セシル,えー！やめてよ！,Scene17,FALSE,,,,,,,park,Two,,,,Cecil_trouble,Cony_smile,,
bad_kakusan_story1,Scene17,dialogue,コニー,はいはい、わかったよ,Scene18,FALSE,,,,,,,park,Two,,,,Cecil_trouble,Cony_irritation,,
bad_kakusan_story1,Scene18,dialogue,コニー,（よし、みんなに送っちゃおう！）,Scene19,FALSE,,,,,,,park,Two,,,,Cecil_trouble,Cony_irritation,,
bad_kakusan_story1,Scene19,chat,,,,TRUE,この動画見て！,0,Scene20,セシルの恥ずかしすぎる動画撮れたから見てほしい！！,1,Scene20,chatBackground,,,,,,,,
bad_kakusan_story1,Scene20,chat,サンドラ,セシル｜可愛《かわい》すぎ！これはバズるんじゃない？,Scene21,FALSE,,,,,,,chatBackground,,,,,,,,
bad_kakusan_story1,Scene21,chat,アレック,てか、よく見たらパンツ見えてるじゃん！！,Scene22,FALSE,,,,,,,chatBackground,,,,,,,,
bad_kakusan_story1,Scene22,chat,コニー,そうなんだよ！,Scene23,FALSE,,,,,,,chatBackground,,,,,,,,
bad_kakusan_story1,Scene23,chat,,,,TRUE,バズるかな〜？ SNSにアップするの結構アリじゃない？,0,Scene24,勝手にSNS載せちゃおうよ！,1,Scene25,chatBackground,,,,,,,,
bad_kakusan_story1,Scene24,chat,サンドラ,セシル可愛いから有名になるかも！,Scene26,FALSE,,,,,,,chatBackground,,,,,,,,
bad_kakusan_story1,Scene25,chat,サンドラ,それは流石にやばいってー,Scene26,FALSE,,,,,,,chatBackground,,,,,,,,
bad_kakusan_story1,Scene26,chat,,,,TRUE,気にしない気にしない、アップしようよ,1,Scene27,そうなったら私たちのおかげじゃん,0,Scene27,chatBackground,,,,,,,,
bad_kakusan_story1,Scene27,chat,サンドラ,そもそも、この動画をグルチャにセシルが送っていいって言うなんて意外！（笑）,Scene28,FALSE,,,,,,,chatBackground,,,,,,,,
