storyId,sceneId,viewType,characterName,dialogueText,nextSceneId,isChoice,choice1Text,choice1Percentage,choice1NextSceneId,choice2Text,choice2Percentage,choice2NextSceneId,background,TalkingPeople,LeftCharacter,CenterCharacter,RightCharacter,OneCharacter,TwoCharacter,OnePerson,bgm
bad_netomo_story3,Scene0,start,,ネトモのニックと実際に会ってしまい、グッズのお金を求められたコニー。,Scene1,FALSE,,,,,,,Sky,,,,,,,,
bad_netomo_story3,Scene1,start,,コニーはこのあとお金を払ってしまうのでしょうか。,Scene2,FALSE,,,,,,,Sky,,,,,,,,
bad_netomo_story3,Scene2,dialogue,ニック,それでなんだけど、これ｜一応《いちおう》｜定価《ていか》よりは安くしてあげたんだよね,Scene3,FALSE,,,,,,,park,Two,,,,Nick_normal,Cony_sorry,,
bad_netomo_story3,Scene3,dialogue,コニー,え？,Scene4,FALSE,,,,,,,park,Two,,,,Nick_normal,Cony_sorry,,
bad_netomo_story3,Scene4,dialogue,ニック,あれ？言ってなかったっけ？少しはお金もらいたい,Scene5,FALSE,,,,,,,park,Two,,,,Nick_normal,Cony_sorry,,
bad_netomo_story3,Scene5,dialogue,コニー,でもチャットではあげるって言ってたよね？,Scene6,FALSE,,,,,,,park,Two,,,,Nick_normal,Cony_sorry,,
bad_netomo_story3,Scene6,dialogue,ニック,｜無料《むりょう》であげるとは言ってないはずだよ,Scene7,FALSE,,,,,,,park,Two,,,,Nick_angry,Cony_sorry,,
bad_netomo_story3,Scene7,dialogue,ニック,僕だって欲しいって言ってた人他にいたけど、<br>その人を｜断《ことわ》ってコニーに｜渡《わた》しにきたんだよ,Scene8,FALSE,,,,,,,park,Two,,,,Nick_angry,Cony_sorry,,
bad_netomo_story3,Scene8,dialogue,,,,TRUE,いくら渡したらいいの？,1,Scene9,そうなんだ...。全部でいくらするの？,0,Scene9,park,Two,,,,Nick_angry,Cony_sorry,,
bad_netomo_story3,Scene9,dialogue,ニック,うーん、だいたい5000円くらいかな,Scene10,FALSE,,,,,,,park,Two,,,,Nick_angry,Cony_sorry,,
bad_netomo_story3,Scene10,dialogue,ニック,本当は｜郵送《ゆうそう》するつもりだったから<br>｜送料《そうりょう》の分とかも入れて｜当然《とうぜん》だよね？,Scene11,FALSE,,,,,,,park,Two,,,,Nick_angry,Cony_sorry,,
bad_netomo_story3,Scene11,dialogue,ニック,ちゃんと｜払《はら》ってくれる？,Scene12,FALSE,,,,,,,park,Two,,,,Nick_angry,Cony_sorry,,
bad_netomo_story3,Scene12,dialogue,,,,TRUE,わかった…。｜払《はら》うよ…,0,Scene13,私が悪かった！渡すね！,1,Scene13,park,Two,,,,Nick_angry,Cony_sorry,,
bad_netomo_story3,Scene13,chat,ニック,今日はありがとう。,Scene14,FALSE,,,,,,,chatBackground,,,,,,,,
bad_netomo_story3,Scene14,chat,コニー,でもお金が必要だったなら言って欲しかったな笑,Scene15,FALSE,,,,,,,chatBackground,,,,,,,,
bad_netomo_story3,Scene15,chat,ニック,え？でも｜無料《むりょう》であげるなんて一回も言ってないけど,Scene16,FALSE,,,,,,,chatBackground,,,,,,,,
bad_netomo_story3,Scene16,chat,,,,TRUE,でも｜貰《もら》ってくれない？って言ったよね？,0,Scene17,そうだよね、、でも私金欠だったからさ…,1,Scene17,chatBackground,,,,,,,,
bad_netomo_story3,Scene17,chat,ニック,めんどくさいな〜じゃあ返すの？,Scene18,FALSE,,,,,,,chatBackground,,,,,,,,
bad_netomo_story3,Scene18,chat,ニック,｜俺《おれ》はわざわざコニーに会いに行って｜渡《わた》したのに,Scene19,FALSE,,,,,,,chatBackground,,,,,,,,
bad_netomo_story3,Scene19,chat,コニー,ごめん。でも返したい…,Scene20,FALSE,,,,,,,chatBackground,,,,,,,,
bad_netomo_story3,Scene20,chat,ニック,あ〜もうわかったよ。,Scene21,FALSE,,,,,,,chatBackground,,,,,,,,
bad_netomo_story3,Scene21,chat,ニック,俺も怒ってごめん。,Scene22,FALSE,,,,,,,chatBackground,,,,,,,,
bad_netomo_story3,Scene22,chat,ニック,来週の日曜また熊本行くからその時取りに行く,Scene23,FALSE,,,,,,,chatBackground,,,,,,,,
bad_netomo_story3,Scene23,chat,,,,TRUE,わかった！ごめんね,1,Scene24,いいの？わざわざありがとう。,0,Scene25,chatBackground,,,,,,,,
bad_netomo_story3,Scene24,chat,ニック,いいよいいよ。<br>もうめんどくさいし、直接家に向かっていい？,Scene25,FALSE,,,,,,,chatBackground,,,,,,,,
bad_netomo_story3,Scene25,chat,,家か。お母さんに聞いてみるね！,Scene26,FALSE,,,,,,,chatBackground,,,,,,,,
bad_netomo_story3,Scene26,chat,ニック,いや会うの一瞬だし、わざわざ聞かなくていいよ笑,Scene27,FALSE,,,,,,,chatBackground,,,,,,,,
bad_netomo_story3,Scene27,chat,,,,TRUE,もしバレたらお母さんに怒られそうだからこっそり来てほしい！笑,1,Scene28,え〜そうかな？？笑,0,Scene28,chatBackground,,,,,,,,
bad_netomo_story3,Scene28,chat,ニック,じゃあとりあえず、また会いに来週の日曜行くから！,Scene29,FALSE,,,,,,,chatBackground,,,,,,,,
