storyId,sceneId,characterName,dialogueText,background,TalkingPeople,LeftCharacter,CenterCharacter,RightCharacter,OneCharacter,TwoCharacter,OnePerson,LeftChat,RightChat
groupchat,Scene0,,,Introduction,,,,,,,,,
groupchat,Scene1,アレック,やっと｜授業《じゅぎょう》終わった〜,Classroom,Three,Alec_smile,Cecil_normal,Cony_normal,,,,,
groupchat,Scene2,コニー,まじ｜疲《つか》れたね,Classroom,Three,Alec_normal,Cecil_normal,Cony_normal,,,,,
groupchat,Scene3,セシル,先生の｜授業《じゅぎょう》って<br>面白いけど｜内容《ないよう》｜難《むずか》しいもんね,Classroom,Three,Alec_normal,Cecil_normal,Cony_normal,,,,,
groupchat,Scene4,アレック,それな。分からないところあったし、<br>｜質問《しつもん》に行こうかなー,Classroom,Three,Alec_normal,Cecil_normal,Cony_normal,,,,,
groupchat,Scene5,コニー,あれ？｜誰《だれ》か先生に｜質問《しつもん》しに行ってる,Classroom,Three,Alec_normal,Cecil_normal,Cony_surprised,,,,,
groupchat,Scene6,アレック,うわ〜あれカールじゃん。また先生のところ行ってるよ,Classroom,Three,Alec_normal,Cecil_normal,Cony_normal,,,,,
groupchat,Scene7,コニー,ほんとだね（笑）。いつも｜質問《しつもん》しに行ってるよね。,Classroom,Three,Alec_normal,Cecil_normal,Cony_smile,,,,,
groupchat,Scene8,セシル,言われてみたら｜確《たし》かに！,Classroom,Three,Alec_normal,Cecil_normal,Cony_normal,,,,,
groupchat,Scene9,アレック,なんかカールって変わってるよね。変な行動多いし,Classroom,Three,Alec_normal,Cecil_normal,Cony_normal,,,,,
groupchat,Scene10,コニー,いいこと思いついた！<br>｜授業《じゅぎょう》終わりいつも先生のところにいて、他の人が先生に話しかけられないじゃん？,Classroom,Three,Alec_normal,Cecil_normal,Cony_normal,,,,,
groupchat,Scene11,コニー,もうカールタイムって名前つけたらいいんじゃない？（笑）,Classroom,Three,Alec_normal,Cecil_normal,Cony_smile,,,,,
groupchat,Scene12,アレック,何それおもしろ（笑）そうしよう！,Classroom,Three,Alec_smile,Cecil_normal,Cony_normal,,,,,
groupchat,Scene13,コニー,｜仲良《なかよ》しグループだけの｜秘密《ひみつ》の｜呼《よ》び方にしよう！,Classroom,Three,Alec_normal,Cecil_normal,Cony_normal,,,,,
groupchat,Scene14,アレック,後でグループチャット作るね！,Classroom,Three,Alec_normal,Cecil_normal,Cony_normal,,,,,
groupchat,Scene15,アレック,6年3組の｜仲良《なかよ》しグル作ったよ！,Chat,,,,,,,,Yes,No
groupchat,Scene16,コニー,やったね！まじナイス！,Chat,,,,,,,,Yes,No
groupchat,Scene17,セシル,ふふ、楽しそう〜,Chat,,,,,,,,No,Yes
groupchat,Scene18,アレック,てかさ、今日のカールまた先生に話しかけまくってて｜笑《わら》っちゃった。,Chat,,,,,,,,Yes,No
groupchat,Scene19,アレック,先生も｜結構《けっこう》｜困《こま》ってそうだよね。<br>次の｜授業《じゅぎょう》始まるギリギリまで話しかけられてて,Chat,,,,,,,,Yes,No
groupchat,Scene20,コニー,ほんとそれな。あれはさ〜、完全に“カールタイム”始まってたわ笑,Chat,,,,,,,,Yes,No
groupchat,Scene21,アレック,次の3時間目の理科とかもう、最初の時間カールのせいでなかなか始まらなかったよね。<br>みんなの｜迷惑《めいわく》でしょ,Chat,,,,,,,,Yes,No
groupchat,Scene22,セシル,……いつも｜丁寧《ていねい》に聞いてるな〜とは思ってたけど……,Chat,,,,,,,,No,Yes
groupchat,Scene23,コニー,いや、聞くのはいいけどさ、1人で｜独占《どくせん》するのはズルいって〜笑,Chat,,,,,,,,Yes,No
groupchat,Scene24,アレック,しかもさ、｜質問《しつもん》の｜内容《ないよう》が<br>“電池のプラスってどっちが出てるんですか？”とか…今じゃなくてよくない？笑,Chat,,,,,,,,Yes,No
groupchat,Scene25,セシル,……うん、たしかにタイミングってあるよね,Chat,,,,,,,,No,Yes
groupchat,Scene26,コニー,でも先生も｜優《やさ》しいから、止めないんだよね〜笑,Chat,,,,,,,,Yes,No
