storyId,sceneId,characterName,dialogueText,background
storyId,Scene0,,,Introduction
groupchat,Scene1,アレック,やっと｜授業《じゅぎょう》終わった〜,Classroom1
groupchat,Scene2,コニー,まじ｜疲《つか》れたね,Classroom1
groupchat,Scene3,セシル,先生の｜授業《じゅぎょう》って<br>面白いけど｜内容《ないよう》｜難《むずか》しいもんね,Classroom1
groupchat,Scene4,アレック,それな。分からないところあったし、<br>｜質問《しつもん》に行こうかなー,Classroom1
groupchat,Scene5,コニー,あれ？｜誰《だれ》か先生に｜質問《しつもん》しに行ってる,Classroom1
groupchat,Scene6,アレック,うわ〜あれカールじゃん。また先生のところ行ってるよ,Classroom1
groupchat,Scene7,コニー,ほんとだね（笑）。いつも｜質問《しつもん》しに行ってるよね。,Classroom1
groupchat,Scene8,セシル,言われてみたら｜確《たし》かに！,Classroom1
groupchat,Scene9,アレック,なんかカールって変わってるよね。変な行動多いし,Classroom1
groupchat,Scene10,コニー,いいこと思いついた！｜授業《じゅぎょう》終わりいつも先生のところにいて、<br>他の人が先生に話しかけられないじゃん？,Classroom1
groupchat,Scene11,コニー,もうカールタイムって名前つけたらいいんじゃない？（笑）,Classroom1
groupchat,Scene12,アレック,何それおもしろ（笑）そうしよう！,Classroom1
groupchat,Scene13,コニー,｜仲良《なかよ》しグループだけの｜秘密《ひみつ》の｜呼《よ》び方にしよう！,Classroom1
groupchat,Scene14,アレック,後でグループチャット作るね！,Classroom1
groupchat,Scene15,アレック,6年3組の｜仲良《なかよ》しグル作ったよ！,Chat1
groupchat,Scene16,コニー,やったね！まじナイス！,Chat1
groupchat,Scene17,セシル,ふふ、楽しそう〜,Chat1
groupchat,Scene18,アレック,てかさ、今日のカールまた先生に話しかけまくってて｜笑《わら》っちゃった。,Chat1
groupchat,Scene19,アレック,先生も｜結構《けっこう》｜困《こま》ってそうだよね。<br>次の｜授業《じゅぎょう》始まるギリギリまで話しかけられてて,Chat1
groupchat,Scene20,コニー,ほんとそれな。あれはさ〜、完全に“カールタイム”始まってたわ笑,Chat1
groupchat,Scene21,アレック,次の3時間目の理科とかもう、最初の時間カールのせいでなかなか始まらなかったよね。<br>みんなの迷惑《めいわく》でしょ,Chat1
groupchat,Scene22,セシル,……いつも｜丁寧《ていねい》に聞いてるな〜とは思ってたけど……,Chat1
groupchat,Scene23,コニー,いや、聞くのはいいけどさ、1人で｜独占《どくせん》するのはズルいって〜笑,Chat1
