storyId,sceneId,characterName,dialogueText,background
Kakusan,scene0,,,Introduction
Kakusan,scene1,コニー,あ！鉄棒空いてる！,Park
Kakusan,scene2,セシル,最近逆上がりできるようになったから動画撮ってよ！,Park
Kakusan,scene3,コニー,もちろん！任せて〜,Park
Kakusan,scene4,セシル,じゃあ行くよ〜,Park
Kakusan,scene5,,動画（？）,Move1
Kakusan,scene6,セシル,きゃーーーーー！,Park
Kakusan,scene7,コニー,やば！パンツぎり見えてるよ笑,Park
Kakusan,scene8,セシル,やだ〜笑もう恥ずかしい笑,Park
Kakusan,scene9,コニー,（これ面白すぎるからみんなにも見せよっと）,Park
Kakusan,scene10,コニー,みてみて笑,Chat1
Kakusan,scene11,アレック,何これおもしろ笑,Chat1
Kakusan,scene12,サンドラ,セシル可愛すぎ！これはバズるんじゃない？,Chat1
Kakusan,scene13,コニー,みてみて！みんなにも送っちゃった！笑,Park
Kakusan,scene14,セシル,ちょっとやめてよー！,Park
Kakusan,scene15,コニー,えー！いいじゃん！ほらみんな面白いってよ,Park
Kakusan,scene16,セシル,うん、でもやっぱり恥ずかしいから消してほしいよ,Park
Kakusan,scene17,コニー,そっか、嫌なことしてごめん！消すね！,Park
Kakusan,scene18,セシル,よかった〜ありがとう！,Park
Kakusan,scene19,,アレックとケビンのチャット,Summary
Kakusan,scene20,アレック,みてこの動画！セシル、逆上がりでパンツ少し見えてる（笑）,Chat2
Kakusan,scene21,ケビン,やば（笑）ネットに出したらバズるって！,Chat2
Kakusan,scene22,アレック,え！それな！これ面白いからみんなにも共有しよ！,Chat2
Kakusan,scene23,アレック,今動画をSNSにアップしてみたよ！,Chat2
Kakusan,scene24,ケビン,絶対バズらせたいから拡散していこ！！,Chat2
Kakusan,scene25,,次の日,Summary
Kakusan,scene26,サンドラ,ねえ、これ見て。SNSでバズってるよ,Classroom1
Kakusan,scene27,セシル,…なんで…？これ…私じゃん…,Classroom1
Kakusan,scene28,サンドラ,グルチャに送った動画コニーが消したのになんで持ってるんだろう,Classroom1
Kakusan,scene29,セシル,これもしかしてネット上に上がってる？どうしよう早く動画を消さなきゃ,Classroom1
Kakusan,scene30,サンドラ,もしかしてコニーがネットに動画をあげたのかな。もともとコニーが撮ってた動画なんだよね？これって,Classroom1
Kakusan,scene31,セシル,うん、そうなんだよね。やめてってお願いしたのに…,Classroom1
Kakusan,scene32,セシル,確認してみようかな,Classroom1
Kakusan,scene33,サンドラ,それがいいよ。１度本人に直接聞いてみよう,Classroom1
Kakusan,scene34,クラスメイト,クラスメイトが笑ってる,Classroom1
Kakusan,scene35,セシル,セシル、無言で教室を出ていく,Classroom1
Kakusan,scene36,,コニーの自宅で,Summary
Kakusan,scene37,コニー,暇だしSNSでもみよ〜っと,Cony
Kakusan,scene38,コニー,あれ？見覚えのある動画がある…？,Cony
Kakusan,scene39,コニー,え？これって私が撮ったセシルの動画？,Cony
Kakusan,scene40,,動画（？）,Move3
Kakusan,scene41,コニー,動画消したはずなのに何で？？,Cony
Kakusan,scene42,コニー,とにかくセシルに謝らないと,Cony
Kakusan,scene43,セシル,コニー、あの動画もしかしてネットにあげたのコニーなの？,Chat3
Kakusan,scene44,コニー,違うのセシル！あの動画私はあげてないよ！,Chat3
Kakusan,scene45,コニー,セシルに嫌だって言われた時にちゃんと動画も消したんだよ,Chat3
Kakusan,scene46,コニー,本当にすぐ消したの、、、,Chat3
Kakusan,scene47,コニー,でも私のせいで嫌な思いしてるよね。,Chat3
Kakusan,scene48,コニー,本当にごめんなさい。動画を消したいけど私もどうしたらいいか分からないんだ,Chat3
Kakusan,scene49,コニー,本当に本当にごめんなさい,Chat3
Kakusan,scene50,アレック,動画が知らない人にまで広がっててさ…やばいかも,Classroom2
Kakusan,scene51,ケビン,え？,Classroom2
Kakusan,scene52,アレック,他校の友達から「お前の学校のスカート動画ってこれ？」ってチャットで聞かれて…,Classroom2
Kakusan,scene53,アレック,しかも僕があげた動画をまた別の誰かが保存して色んなことろで拡散されていってる,Classroom2
Kakusan,scene54,アレック,どうしよう…そんなつもりじゃ…,Classroom2
Kakusan,scene55,ケビン,今すぐ動画消さなきゃ！！,Classroom2
Kakusan,scene56,アレック,そうだよね、急いで消す！,Classroom2
Kakusan,scene57,ケビン,でも別の人が拡散してる動画ってどうやって消せばいいの？,Classroom2
Kakusan,scene58,アレック,分からない…,Classroom2
Kakusan,scene59,,その日の帰りの会で,Summary
Kakusan,scene60,先生,みんなに、大事な話があります,Classroom3
Kakusan,scene61,先生,セシルさんは、今日から転校することになりました,Classroom3
Kakusan,scene62,コニー,（私のせいだ、、、）,Classroom3
Kakusan,scene63,アレック,（SNSにあげなければ、、、）,Classroom3
Kakusan,scene64,先生,体調のこともありますが、それだけではありません,Classroom3
Kakusan,scene65,先生,先日、本人がとても恥ずかしい思いをするような動画が、ネット上に広がってしまいました,Classroom3
Kakusan,scene66,先生,“面白いから”という気持ちで投稿された動画でも、本人にとってはとてもつらいものでした,Classroom3
Kakusan,scene67,先生,言葉も、画像も、動画も、簡単に送れる時代です,Classroom3
Kakusan,scene68,先生,でも、それが誰かの心をどれだけ傷つけるかを、想像することができなければ、たくさんの人を悲しませることになります,Classroom3
Kakusan,scene69,先生,悪気はなかったでは、通じないことがあるということを,Classroom3
Kakusan,scene70,先生,そして、自分のスマホから発信したものには、責任があるということを忘れないでください。,Classroom3
Kakusan,scene71,,セシルが転校してしまった,Summary
Kakusan,scene72,,面白いからとアップしてしまった動画によってセシルの人生を変えてしまった,Summary
