storyId,sceneId,characterName,dialogueText,background,TalkingPeople,LeftCharacter,CenterCharacter,RightCharacter,OneCharacter,TwoCharacter,OnePerson,LeftChat,RightChat
Kakusan,scene0,,,Introduction,,,,,,,,,
Kakusan,scene1,コニー,今日風強いね〜,Park,Two,,,,Cecil_normal,Cony_normal,,,
Kakusan,scene2,セシル,それな。せっかく遊びに来たのになんかもったいないね,Park,Two,,,,Cecil_normal,Cony_normal,,,
Kakusan,scene3,コニー,まああんまり気にしないでよ！,Park,Two,,,,Cecil_normal,Cony_normal,,,
Kakusan,scene4,コニー,あ！ならこの前言ってた最近クラスで<br>流行ってるダンス動画｜撮《と》ろうよ！,Park,Two,,,,Cecil_normal,Cony_normal,,,
Kakusan,scene5,セシル,それいいね！じゃあ先に｜私《わたし》｜踊《おど》るから<br>動画｜撮《と》っててよ！,Park,Two,,,,Cecil_normal,Cony_normal,,,
Kakusan,scene6,コニー,もちろん！｜任《まか》せて〜,Park,Two,,,,Cecil_normal,Cony_normal,,,
Kakusan,scene7,セシル,じゃあ行くよ,Park,Two,,,,Cecil_normal,Cony_normal,,,
Kakusan,scene8,,,Move1,,,,,,,,,
Kakusan,scene9,セシル,きゃーーーーーーー！,Park,Two,,,,Cecil_trouble,Cony_normal,,,
Kakusan,scene10,コニー,やば！パンツぎり見えてるよ｜笑《わら》,Park,Two,,,,Cecil_trouble,Cony_smile,,,
Kakusan,scene11,セシル,やだ〜｜笑《わら》もう｜恥《はず》かしい,Park,Two,,,,Cecil_trouble,Cony_smile,,,
Kakusan,scene12,コニー,（これ｜面白《おもし》すぎるからみんなにも見せよっと）,Park,Two,,,,Cecil_normal,Cony_smile,,,
Kakusan,scene13,コニー,みてみて｜笑《わら》,Chat1,,,,,,,,No,Yes
Kakusan,scene14,アレック,何これおもしろ｜笑《わら》,Chat1,,,,,,,,Yes,No
Kakusan,scene15,サンドラ,セシル｜可愛《かわい》すぎ！これはバズるんじゃない？,Chat1,,,,,,,,Yes,No
Kakusan,scene16,コニー,みてみて！みんなにも送っちゃった！｜笑《わら》,Park,Two,,,,Cecil_normal,Cony_smile,,,
Kakusan,scene17,セシル,ちょっとやめてよー！,Park,Two,,,,Cecil_trouble,Cony_smile,,,
Kakusan,scene18,コニー,えー！いいじゃん！ほらみんな｜面白《おもしろ》いってよ,Park,Two,,,,Cecil_trouble,Cony_smile,,,
Kakusan,scene19,セシル,うん、でもやっぱり｜恥《は》ずかしいから消してほしいよ,Park,Two,,,,Cecil_trouble,Cony_normal,,,
Kakusan,scene20,コニー,そっか、｜嫌《いや》なことしてごめん！消すね！,Park,Two,,,,Cecil_trouble,Cony_panic,,,
Kakusan,scene21,セシル,よかった〜ありがとう！,Park,Two,,,,Cecil_smile,Cony_smile,,,
Kakusan,scene22,セシル,クラスのグループチャットでは…,Summary,,,,,,,,,
Kakusan,scene23,アレック,みてこの動画！セシル、風強すぎてパンツ少し見えてる（｜笑《わら》）,Chat2,,,,,,,,Yes,No
Kakusan,scene24,ケビン,やば（｜笑《わら》）ネットに出したらバズるって！,Chat2,,,,,,,,Yes,No
Kakusan,scene25,アレック,え！それな！これ｜面白いからみんなにも共有しよ！,Chat2,,,,,,,,Yes,No
Kakusan,scene26,アレック,今動画をSNSにアップしてみたよ！,Chat2,,,,,,,,Yes,No
Kakusan,scene27,ケビン,｜絶対《ぜったい》バズらせたいから｜拡散《かくさん》していこ！！,Chat2,,,,,,,,Yes,No
Kakusan,scene28,アレック,よーし！じゃあ、動画をアップっと,Chat2,,,,,,,,Yes,No
Kakusan,scene29,,次の日,Summary,,,,,,,,,
Kakusan,scene30,サンドラ,ねえ、これ見て。SNSでバズってるよ,Classroom,Two,,,,Sandra_surprised,Cecil_normal,,,
Kakusan,scene31,セシル,…なんで…？これ…私じゃん…,Classroom,Two,,,,Sandra_surprised,Cecil_trouble,,,
Kakusan,scene32,サンドラ,グルチャに送った動画コニーが消したのになんで持ってるんだろう,Classroom,Two,,,,Sandra_sorry,Cecil_trouble,,,
Kakusan,scene33,セシル,これもしかしてネット上に上がってる？どうしよう早く動画を消さなきゃ,Classroom,Two,,,,Sandra_sorry,Cecil_trouble,,,
Kakusan,scene34,サンドラ,もしかしてコニーがネットに動画をあげたのかな。<br>もともとコニーが｜撮《と》ってた動画なんだよね？これって,Classroom,Two,,,,Sandra_sorry,Cecil_trouble,,,
Kakusan,scene35,セシル,うん、そうなんだよね。やめてって｜お願《ねが》いしたのに…,Classroom,Two,,,,Sandra_sorry,Cecil_trouble,,,
Kakusan,scene36,セシル,｜確認《かくにん》してみようかな,Classroom,Two,,,,Sandra_normal,Cecil_trouble,,,
Kakusan,scene37,サンドラ,それがいいよ。１度本人に｜直接《ちょくせつ》聞いてみよう,Classroom,Two,,,,Sandra_normal,Cecil_normal,,,
Kakusan,scene38,,その｜頃《ころ》コニーは…,Summary,,,,,,,,,
Kakusan,scene39,コニー,｜暇《ひま》だしSNSでもみよ〜っと,Home,One,,,,,,Cony_smile,,
Kakusan,scene40,コニー,あれ？｜見覚《みおぼ》えのある動画がある…？,Home,One,,,,,,Cony_surprised,,
Kakusan,scene41,コニー,え？これって｜私《わたし》が｜撮《と》ったセシルの動画？,Home,One,,,,,,Cony_sorry,,
Kakusan,scene42,コニー,動画消したはずなのに何で？？,Home,One,,,,,,Cony_sorry,,
Kakusan,scene43,コニー,とにかくセシルに｜謝《あやま》らないと,Home,One,,,,,,Cony_sorry,,
Kakusan,scene44,セシル,コニー、あの動画もしかしてネットにあげたのコニーなの？,Chat3,,,,,,,,Yes,No
Kakusan,scene45,コニー,｜違《ちが》うのセシル！あの動画｜私《わたし》はあげてないよ！,Chat3,,,,,,,,No,Yes
Kakusan,scene46,コニー,セシルに｜嫌《いや》だって言われた時にちゃんと動画も消したんだよ,Chat3,,,,,,,,No,Yes
Kakusan,scene47,コニー,本当にすぐ消したの、、、,Chat3,,,,,,,,No,Yes
Kakusan,scene48,コニー,でも｜私《わたし》のせいで｜嫌《いや》な思いしてるよね。,Chat3,,,,,,,,No,Yes
Kakusan,scene49,コニー,本当にごめんなさい。<br>動画を消したいけど｜私《わたし》もどうしたらいいか分からないんだ,Chat3,,,,,,,,No,Yes
Kakusan,scene50,コニー,本当に本当にごめんなさい,Chat3,,,,,,,,No,Yes
Kakusan,scene51,アレック,動画が知らない人にまで広がっててさ…やばいかも,Classroom,Two,,,,Alec_anxiety,Kevin_normal,,,
Kakusan,scene52,ケビン,え？,Classroom,Two,,,,Alec_anxiety,Kevin_sorry,,,
Kakusan,scene53,アレック,他校の友達から「お前の学校のスカート動画ってこれ？」<br>ってチャットで聞かれて…,Classroom,Two,,,,Alec_anxiety,Kevin_sorry,,,
Kakusan,scene54,アレック,しかも｜僕《ぼく》があげた動画をまた｜別《べつ》の｜誰《だれ》かが<br>保存して色んなところで｜拡散《かくさん》されていってる,Classroom,Two,,,,Alec_anxiety,Kevin_sorry,,,
Kakusan,scene55,アレック,どうしよう…そんなつもりじゃ…,Classroom,Two,,,,Alec_anxiety,Kevin_sorry,,,
Kakusan,scene56,ケビン,今すぐ動画消さなきゃ！！,Classroom,Two,,,,Alec_anxiety,Kevin_sorry,,,
Kakusan,scene57,アレック,そうだよね、急いで消す！,Classroom,Two,,,,Alec_anxiety,Kevin_sorry,,,
Kakusan,scene58,ケビン,でも別の人が｜拡散《かくさん》してる動画ってどうやって消せばいいの？,Classroom,Two,,,,Alec_anxiety,Kevin_sorry,,,
Kakusan,scene59,アレック,分からない…,Classroom,Two,,,,Alec_sorry,Kevin_sorry,,,
Kakusan,scene60,,その日の帰りの会で,Summary,,,,,,,,,
Kakusan,scene61,先生,みんなに、大事な話があります,Classroom,One,,,,,,Teacher_normal,,
Kakusan,scene62,先生,セシルさんは、今日から転校することになりました,Classroom,One,,,,,,Teacher_irritation,,
Kakusan,scene63,コニー,（｜私《わたし》のせいだ、、、）,Classroom,One,,,,,,Cony_sorry,,
Kakusan,scene64,アレック,（SNSにあげなければ、、、）,Classroom,One,,,,,,Alec_sorry,,
Kakusan,scene65,先生,｜体調《たいちょう》のこともありますが、それだけではありません,Classroom,One,,,,,,Teacher_irritation,,
Kakusan,scene66,先生,先日、本人がとても｜恥《はず》かしい思いをするような動画が、ネット上に広がってしまいました,Classroom,One,,,,,,Teacher_irritation,,
Kakusan,scene67,先生,“｜面白《おもしろ》いから”という気持ちで｜投稿《とうこう》された動画でも、本人にとってはとてもつらいものでした,Classroom,One,,,,,,Teacher_irritation,,
Kakusan,scene68,先生,言葉も、｜画像《がぞう》も、動画も、｜簡単《かんたん》に送れる時代です,Classroom,One,,,,,,Teacher_irritation,,
Kakusan,scene69,先生,でも、それが誰かの心をどれだけ｜傷《きず》つけるかを、,Classroom,One,,,,,,Teacher_irritation,,
