storyId,sceneId,characterName,dialogueText,background
Netomo,scene0,,,Introduction
Netomo,scene1,ニック,ヤッホー！もしかして昨日のライブいったー？,Chat1
Netomo,scene2,カール,こんにちは！行ったよ！！,Chat1
Netomo,scene3,ニック,だよね！ライブの写真が投稿されてるなーって思ってたんだよね,Chat1
Netomo,scene4,カール,ライブめちゃくちゃ良かった！,Chat1
Netomo,scene5,ニック,わかる〜。衣装もセトリも最高だったよね。本当に楽しかった,Chat1
Netomo,scene6,カール,じゃあニックも昨日のライブ行ってたんだね,Chat1
Netomo,scene7,ニック,そうそう、行ってたんだよね,Chat1
Netomo,scene8,カール,そうだったんだ！もしかしたらどこかで会ってたかもね,Chat1
Netomo,scene9,ニック,他のネトモとは会って直接話したけど、カールとは会えなかったもんね,Chat1
Netomo,scene10,カール,え？ネトモに直接会ったの？,Chat1
Netomo,scene11,ニック,そうだよ。カールは次のライブは行くの？,Chat1
Netomo,scene12,カール,それが金欠だから行けないんだよね,Chat1
Netomo,scene13,ニック,そうだったんだ。次のライブではカールと会いたいなって思ってたから残念だな,Chat1
Netomo,scene14,ニック,ネトモに会ったことないから会ってみたいなって思ってたんだよね,Chat1
Netomo,scene15,ニック,でも来れないならしょうがないか,Chat1
Netomo,scene16,ニック,じゃあグッズだけでも買うの？,Chat1
Netomo,scene17,カール,それがグッズも買えなさそうでまじやばい,Chat1
Netomo,scene18,ニック,じゃあもしかして今回のツアーのグッズも買えなかった？,Chat1
Netomo,scene19,カール,そうなんだよね,Chat1
Netomo,scene20,ニック,もし良かったらグッズあげようか？今回のグッズは結構被っちゃったから貰ってくれる人ちょうど探してたんだよね,Chat1
Netomo,scene21,カール,え！そうなの！本当にいいの？,Chat1
Netomo,scene22,ニック,もちろんだよ！せっかくあげるなら仲のいい人にあげたいなって思ってたらから！,Chat1
Netomo,scene23,カール,本当にありがとう！,Chat1
Netomo,scene24,ニック,どうやって渡そうかな…,Chat1
Netomo,scene25,ニック,そうだ！郵送してあげるよ！住所教えてー！,Chat1
Netomo,scene26,カール,わかった！熊本県熊本市東区月出3丁目1-100だよ！,Chat1
Netomo,scene27,ニック,え、そこに住んでるの？,Chat1
Netomo,scene28,カール,うん！,Chat1
Netomo,scene29,ニック,僕も東区月出に住んでるよ！近いね！,Chat1
Netomo,scene30,カール,え−！もしかしたら知らないうちに会ってたかもね！,Chat1
Netomo,scene31,ニック,じゃあさ、直接会ってみない？,Chat1
Netomo,scene32,カール,え？直接会うの？,Chat1
Netomo,scene33,ニック,せっかくなんだから会おうよ！その時にグッズもあげるよ！,Chat1
Netomo,scene34,カール,ありがとう！楽しみだな！,Chat1
Netomo,scene35,カール,（やばまじ緊張してきた…）,Park
Netomo,scene36,ニック,こんにちは。もしかしてカール？,Park
Netomo,scene37,カール,そうだよ！じゃあニックなの？,Park
Netomo,scene38,ニック,うん！初めまして！,Park
Netomo,scene39,ニック,ずっと直接話してみたかったんだ！やっと｜会《あ》えて嬉しいな,Park
Netomo,scene40,ニック,チャットでしか話したことなかったから不思議なかんじする,Park
Netomo,scene41,ニック,緊張してる？大丈夫？,Park
Netomo,scene42,カール,ちょっと緊張してるかも…,Park
Netomo,scene43,ニック,変な人じゃないから安心してよ！,Park
Netomo,scene44,カール,うん！もちろん！,Park
Netomo,scene45,ニック,それにしても本気で推しのこと応援してるんだなって伝わってきたよ！,Park
Netomo,scene46,カール,そうかな？,Park
Netomo,scene47,ニック,そうだよ！こんなに推しのこと大好きな人なかなかいないよ！,Park
Netomo,scene48,カール,ありがとう！,Park
Netomo,scene49,ニック,そうだ！忘れないうちにグッズ渡しちゃうね！,Park
Netomo,scene50,カール,わざわざ持ってきてくれてありがとう！本当にもらってもいいの？,Park
Netomo,scene51,ニック,カールなら大切にしてくれそうだと思ったからあげたいんだよね,Park
Netomo,scene52,カール,そんなこと言ってもらえて嬉しい！ありがとう！,Park
Netomo,scene53,ニック,それでなんだけど、これ一応定価よりは安くしてあげたんだよね,Park
Netomo,scene54,カール,え？,Park
Netomo,scene55,ニック,あれ？言ってなかったけ？少しはお金もらいたい,Park
Netomo,scene56,カール,でもチャットではあげるって言ってなかった？,Park
Netomo,scene57,ニック,無料であげるとは言ってないはずだよ,Park
Netomo,scene58,ニック,僕だって欲しいって言ってた人他にいたけど、その人を断ってカールに渡しにきたんだよ,Park
Netomo,scene59,カール,そうなんだ…。全部でいくらするの？,Park
Netomo,scene60,ニック,うーん、だいたい5000円くらいかな,Park
Netomo,scene61,ニック,本当は郵送するつもりだったから送料の分とかも入れて当然だよね？,Park
Netomo,scene62,ニック,ちゃんと払ってくれる？,Park
Netomo,scene63,カール,わかった…。払うよ…,Park
Netomo,scene64,,その日のチャット,Summary
Netomo,scene65,カール,今日はありがとう。,Chat2
Netomo,scene66,カール,でもお金がかかるなんて知らなかった。言ってくれないとわからないよ,Chat2
Netomo,scene67,ニック,え？でも無料であげるなんて一回も言ってないけど,Chat2
Netomo,scene68,カール,でも貰ってくれない？って言ったよね？,Chat2
Netomo,scene69,ニック,めんどくさいな。じゃあ返すの？,Chat2
Netomo,scene70,ニック,俺はわざわざカールに会いに行って渡したのに,Chat2
Netomo,scene71,カール,ごめん。でも返したい…,Chat2
Netomo,scene72,ニック,あ〜もうわかったよ。,Chat2
Netomo,scene73,ニック,別にいいよ。カールの住所知ってるし家まで取りに行こうか？,Chat2
Netomo,scene74,カール,それはやめてほしい。またこの前の公園に来てほしい。,Chat2
Netomo,scene75,ニック,はいはい。じゃあまた今度の日曜日に会おうね,Chat2
Netomo,scene76,,カールはまた会う約束をしてしまった,Summary
Netomo,scene77,キャスター,SNSで知り合った中学生に対し、不適切な接触を図ろうとして、30代の男が恐喝の容疑で逮捕されました。,News
Netomo,scene78,キャスター,逮捕されたのは、東京都内に住む無職の男(34)です。無職の男は、同じアイドルグループのファンを名乗り、,News
Netomo,scene79,キャスター,SNS上で中学生の少女と知り合い、「グッズをあげる」などと言葉巧みに誘い出していました。,News
Netomo,scene80,キャスター,その後、男と似た手口による被害が他にも確認され、,News
Netomo,scene81,キャスター,被害届を出していた別の少女の証言をもとに、警察が身元を特定し今回の逮捕に至りました。,News
Netomo,scene82,,ニュースで言っていた逮捕された男は私がこの前会ったネトモだった。,Summary
Netomo,scene83,,もし私が被害を受けた中学生より先に会っていたら、被害者は私だったかもしれない,Summary
