storyId,sceneId,sceneType,groupName,icon,characterName,leftCharacter,rightCharacter,text,background,speech_bubble,nextSceneId,isChoice,choiceText1,choiceText2
groupchat,scene1,talk,,,Alec,Alec,,やっと｜授業《じゅぎょう》終わった〜。,classroom,speech_bubble_beige,scene2,fales,,
groupchat,scene2,talk,,,Cony,Cony,,まじ｜疲《つか》れたね。,classroom,speech_bubble_beige,scene3,fales,,
groupchat,scene3,talk,,,Cecil,Cecil,,先生の｜授業《じゅぎょう》って面白いけど｜内容《ないよう》｜難《むず》しいもんね。,classroom,speech_bubble_beige,scene4,fales,,
groupchat,scene4,talk,,,Alec,Alec,,それな。<br>分からないところあったし、｜質問《しつもん》に行こうかなー。,classroom,speech_bubble_beige,scene5,fales,,
groupchat,scene5,talk,,,Cony,Cony,,あれ？<br>誰か先生に｜質問《しつもん》しに行ってる。,classroom,speech_bubble_beige,scene6,fales,,
groupchat,scene6,talk,,,Alec,Alec,,うわ〜あれカールじゃん。<br>また先生のところ行ってるよ。,classroom,speech_bubble_beige,scene7,fales,,
groupchat,scene7,talk,,,Cony,Cony,,ほんとだね（笑）。<br>いつも｜質問《しつもん》しに行ってるよね。,classroom,speech_bubble_beige,scene8,fales,,
groupchat,scene8,talk,,,Cecil,Cecil,,言われてみたら｜確《たし》かに！,classroom,speech_bubble_beige,scene9,fales,,
groupchat,scene9,talk,,,Alec,Alec,,なんかカールって変わってるよね。変な行動多いし,classroom,speech_bubble_beige,scene10,fales,,
groupchat,scene10,talk,,,Cony,Cony,,いいこと思いついた！<br>｜授業《じゅぎょう》終わりいつも先生のところにいて、他の人が先生に話しかけられないじゃん？,classroom,speech_bubble_beige,scene11,fales,,
groupchat,scene11,talk,,,Cony,Cony,,もうカールタイムって名前つけたらいいんじゃない？（笑）,classroom,speech_bubble_beige,scene12,fales,,
groupchat,scene12,talk,,,Alec,Alec,,何それおもしろ（笑）。そうしよう！,classroom,speech_bubble_beige,scene13,fales,,
groupchat,scene13,talk,,,Cony,Cony,,仲良しグループだけの｜秘密《ひみつ》の｜呼《よ》び方にしよう！,classroom,speech_bubble_beige,scene14,fales,,
groupchat,scene14,talk,,,Alec,Alec,,後でグループチャット作るね！,classroom,speech_bubble_beige,scene15,fales,,
groupchat,scene15,chat,,alec_icon,Alec,,Cecil,6年3組の仲良しグル作ったよ！,chat_gurutama,,scene16,fales,,
