storyId,sceneId,sceneType,groupName,icon,characterName,leftCharacter,centerCharacter,rightCharacter,text,background,speech_bubble,nextSceneId,IsChoice,choiceText1,choiceText2,blackboard
netomo,scene1,chat,ニック,nick_icon,Nick,,,Curl,ヤッホー！<br>もしかして昨日のライブいったー？,chat_netotama,,scene2,false ,,,
netomo,scene2,chat,ニック,curl_icon,Curl,,,Curl,こんにちは！行ったよ！！,chat_netotama,,scene3,false ,,,
netomo,scene3,chat,ニック,nick_icon,Nick,,,Curl,だよね！<br>ライブの写真が｜投稿《とうこう》されてるなーって思ってたんだよね,chat_netotama,,scene4,false ,,,
netomo,scene4,chat,ニック,curl_icon,Curl,,,Curl,ライブめちゃくちゃ良かった！,chat_netotama,,scene5,false ,,,
netomo,scene5,chat,ニック,nick_icon,Nick,,,Curl,わかる〜<br>｜衣装《いしょう》もセトリも最高だったよね。本当に楽しかった,chat_netotama,,scene6,false ,,,
netomo,scene6,chat,ニック,curl_icon,Curl,,,Curl,じゃあニックも昨日のライブ行ってたの？,chat_netotama,,scene7,false ,,,
netomo,scene7,chat,ニック,nick_icon,Nick,,,Curl,そうそう、行ってたんだよね,chat_netotama,,scene8,false ,,,
netomo,scene8,chat,ニック,curl_icon,Curl,,,Curl,そうだったんだ！<br>もしかしたらどこかで会ってたかもね,chat_netotama,,scene9,false ,,,
netomo,scene9,chat,ニック,nick_icon,Nick,,,Curl,他のネトモとは会って｜直接《ちょくせつ》話したけど、カールとは会えなかったもんね,chat_netotama,,scene10,false ,,,
netomo,scene10,chat,ニック,curl_icon,Curl,,,Curl,え？ネトモに｜直接《ちょくせつ》会ったの？,chat_netotama,,scene11,false ,,,
netomo,scene11,chat,ニック,nick_icon,Nick,,,Curl,そうだよ<br>カールは次のライブは行くの？,chat_netotama,,scene12,false ,,,
netomo,scene12,chat,ニック,curl_icon,Curl,,,Curl,それが金欠だから行けないんだよね,chat_netotama,,scene13,false ,,,
netomo,scene13,chat,ニック,nick_icon,Nick,,,Curl,そうだったんだ。<br>次のライブはカールと会いたいって思ってたから残念だな,chat_netotama,,scene14,false ,,,
netomo,scene14,chat,ニック,curl_icon,Curl,,,Curl,ネトモに会ったことないから会ってみたいって思ってたんだよね,chat_netotama,,scene15,false ,,,
netomo,scene15,chat,ニック,nick_icon,Nick,,,Curl,でも来れないならしょうがないか,chat_netotama,,scene16,false ,,,
netomo,scene16,chat,ニック,nick_icon,Nick,,,Curl,じゃあグッズだけでも買うの？,chat_netotama,,scene17,false ,,,
netomo,scene17,chat,ニック,curl_icon,Curl,,,Curl,それがグッズも買えなさそうでまじやばい,chat_netotama,,scene18,false ,,,
netomo,scene18,chat,ニック,nick_icon,Nick,,,Curl,じゃあ今回のツアーのグッズも買えなかったとか？,chat_netotama,,scene19,false ,,,
netomo,scene19,chat,ニック,curl_icon,Curl,,,Curl,そうなんだよね,chat_netotama,,scene20,false ,,,
netomo,scene20,chat,ニック,nick_icon,Nick,,,Curl,もし良かったらグッズあげようか？,chat_netotama,,scene21,false ,,,
netomo,scene21,chat,ニック,nick_icon,Nick,,,Curl,今回のグッズは｜結構《けっこう》｜被《かぶ》ったから｜貰《も》ってくれる人｜探《さが》してたんだよね,chat_netotama,,scene22,false ,,,
netomo,scene22,chat,ニック,curl_icon,Curl,,,Curl,え！そうなの！<br>本当にいいの？,chat_netotama,,scene23,false ,,,
netomo,scene23,chat,ニック,nick_icon,Nick,,,Curl,もちろんだよ！<br>せっかくあげるなら仲のいい人にあげたいなって思ってたらから！,chat_netotama,,scene24,false ,,,
netomo,scene24,chat,ニック,curl_icon,Curl,,,Curl,本当にありがとう！,chat_netotama,,scene25,false ,,,
netomo,scene25,chat,ニック,nick_icon,Nick,,,Curl,どうやって｜渡《わた》そうかな…,chat_netotama,,scene26,false ,,,
netomo,scene26,chat,ニック,nick_icon,Nick,,,Curl,そうだ！｜郵送《ゆうそう》してあげるよ！住所教えてー！,chat_netotama,,scene27,false ,,,
netomo,scene27,chat,ニック,curl_icon,Curl,,,Curl,住所教えてもいいかお母さんに聞いてみるね！,chat_netotama,,scene28,true ,わかった！熊本県熊本市東区月出3丁目1-100だよ！,住所教えてもいいかお母さんに聞いてみるね！,netomo_explanation_1
netomo,scene28,chat,ニック,nick_icon,Nick,,,Curl,わざわざ親に聞かなくてもいいのに〜,chat_netotama,,scene29,false ,,,
netomo,scene29,chat,ニック,nick_icon,Nick,,,Curl,りょうかーい,chat_netotama,,scene30,false ,,,
netomo,scene30,chat,ニック,curl_icon,Curl,,,Curl,教えてもいいって！,chat_netotama,,scene31,false ,,,
netomo,scene31,chat,ニック,nick_icon,Nick,,,Curl,おっけい！早く教えて！,chat_netotama,,scene32,false ,,,
netomo,scene32,chat,ニック,curl_icon,Curl,,,Curl,熊本県熊本市東区月出3丁目1-100だよ！,chat_netotama,,scene33,false ,,,
netomo,scene33,chat,ニック,nick_icon,Nick,,,Curl,え、そこに住んでるの？,chat_netotama,,scene34,false ,,,
netomo,scene34,chat,ニック,curl_icon,Curl,,,Curl,うん！,chat_netotama,,scene35,false ,,,
netomo,scene35,chat,ニック,nick_icon,Nick,,,Curl,俺も月出に住んでるよ！近いね！,chat_netotama,,scene36,false ,,,
netomo,scene36,chat,ニック,curl_icon,Curl,,,Curl,え−！<br>もしかしたら知らないうちに会ってたかもね！,chat_netotama,,scene37,false ,,,
netomo,scene37,chat,ニック,nick_icon,Nick,,,Curl,じゃあさ、｜直接《ちょくせつ》会ってみない？,chat_netotama,,scene38,false ,,,
netomo,scene38,chat,ニック,curl_icon,Curl,,,Curl,え？｜直接《ちょくせつ》会うの？,chat_netotama,,scene39,false ,,,
netomo,scene39,chat,ニック,nick_icon,Nick,,,Curl,せっかくなんだから会おうよ！その時にグッズもあげるよ！,chat_netotama,,scene40,false ,,,
netomo,scene40,chat,ニック,curl_icon,Curl,,,Curl,ニックの会うの不安だからお母さんも一緒に行ってもいい？,chat_netotama,,scene41,true ,ニックの会うの不安だからお母さんも一緒に行ってもいい？,ありがとう！楽しみだな！,netomo_explanation_2
netomo,scene41,chat,ニック,nick_icon,Nick,,,Curl,えー？親と来るの？,chat_netotama,,scene42,false ,,,
netomo,scene42,chat,ニック,curl_icon,Curl,,,Curl,うん、だめかな,chat_netotama,,scene43,false ,,,
netomo,scene43,chat,ニック,nick_icon,Nick,,,Curl,まあいいよ。2人で会いたかったのにな,chat_netotama,,scene44,false ,,,
netomo,scene44,chat,ニック,curl_icon,Curl,,,Curl,ごめんね。でもニックに会えるの楽しみだな！,chat_netotama,,scene45,false ,,,
netomo,scene45,chat,ニック,nick_icon,Nick,,,Curl,じゃあ今週の日曜に近くの公園に待ち合わせで！,chat_netotama,,scene46,false ,,,
netomo,scene46,talk,,curl_icon,Curl_anixiety,,,Curl_anixiety,やばまじ｜緊張《きんちょう》してきた…,park,speech_bubble_beige,scene47,false ,,,
netomo,scene47,talk,,nick_face_icon,Nick,Nick,,Curl_normal,こんにちは。もしかしてカール？,park,speech_bubble_beige,scene48,false ,,,
netomo,scene48,talk,,curl_icon,Curl_normal,Nick,,Curl_normal,そうだよ！じゃあニックなの？,park,speech_bubble_beige,scene49,false ,,,
netomo,scene49,talk,,nick_face_icon,Nick,Nick,,Curl_normal,うん！初めまして！,park,speech_bubble_beige,scene50,false ,,,
netomo,scene50,talk,,nick_face_icon,Nick,Nick,,Curl_normal,ずっと｜直接《ちょくせつ》話してみたかったんだ！<br>やっと会えて｜嬉《うれ》しいな,park,speech_bubble_beige,scene51,false ,,,
netomo,scene51,talk,,curl_icon,Curl_happy,Nick,,Curl_happy,チャットでしか話したことなかったから不思議な<br>かんじする,park,speech_bubble_beige,scene52,false ,,,
netomo,scene52,talk,,nick_face_icon,Nick,Nick,,Curl_happy,｜緊張《きんちょう》してる？大丈夫？,park,speech_bubble_beige,scene53,false ,,,
netomo,scene53,talk,,curl_icon,Curl_normal,Nick,,Curl_normal,ちょっと｜緊張《きんちょう》してるかも…,park,speech_bubble_beige,scene54,false ,,,
netomo,scene54,talk,,nick_face_icon,Nick,Nick,,Curl_normal,変な人じゃないから安心してよ！,park,speech_bubble_beige,scene55,false ,,,
netomo,scene55,talk,,curl_icon,Curl_happy,Nick,,Curl_happy,うん！もちろん！,park,speech_bubble_beige,scene56,false ,,,
netomo,scene56,talk,,mother_icon,Mother_normal,Mother_normal,Nick,Curl_happy,こんにちは。<br>カールの母です。,park,speech_bubble_beige,scene57,false ,,,
netomo,scene57,talk,,nick_face_icon,Nick,Mother_normal,Nick,Curl_happy,あー、こんにちは。今日はわざわざすみません。,park,speech_bubble_beige,scene58,false ,,,
netomo,scene58,talk,,nick_face_icon,Nick,Mother_normal,Nick,Curl_happy,母さんですよね？<br>まあでも別にお母さんは来なくて良かったのに。,park,speech_bubble_beige,scene59,false ,,,
netomo,scene59,talk,,mother_icon,Mother_normal,Mother_normal,Nick,Curl_happy,いえいえ。<br>初めて知らない人に会うのだから親である私が来るのは当然です,park,speech_bubble_beige,scene60,false ,,,
netomo,scene60,talk,,nick_face_icon,Nick,Mother_normal,Nick,Curl_happy,ふーん、そっか。まあいいや,park,speech_bubble_beige,scene61,false ,,,
netomo,scene61,talk,,nick_face_icon,Nick,Mother_normal,Nick,Curl_happy,じゃあ早速だけどカールにグッズ｜渡《わた》しちゃおうかな！,park,speech_bubble_beige,scene62,false ,,,
netomo,scene62,talk,,curl_icon,Curl_happy,Mother_normal,Nick,Curl_happy,わざわざ持ってきてくれてありがとう！<br>本当にもらってもいいの？,park,speech_bubble_beige,scene63,false ,,,
netomo,scene63,talk,,nick_face_icon,Nick,Mother_normal,Nick,Curl_happy,カールなら大切にしてくれそうだと思ったからあげたいんだよね,park,speech_bubble_beige,scene64,false ,,,
netomo,scene64,talk,,curl_icon,Curl_happy,Mother_normal,Nick,Curl_happy,そんなこと言ってもらえて｜嬉《うれ》しい！ありがとう！,park,speech_bubble_beige,scene65,false ,,,
netomo,scene65,talk,,nick_face_icon,Nick_normal,Mother_normal,Nick_normal,Curl_happy,それでなんだけど、<br>これ一応｜定価《ていか》よりは安くしてあげたんだよね,park,speech_bubble_beige,scene66,false ,,,
