storyId,sceneId,viewType,characterName,dialogueText,nextSceneId,isChoice,choice1Text,choice1Percentage,choice1NextSceneId,choice2Text,choice2Percentage,choice2NextSceneId,background,TalkingPeople,LeftCharacter,CenterCharacter,RightCharacter,OneCharacter,TwoCharacter,OnePerson,bgm
bad_grucya_story1,Scene0,start,,｜最近《さいきん》お｜母《かあ》さんに｜携帯《けいたい》を｜買《か》ってもらったからいつでも｜仲良《なかよ》しの｜友達《ともだち》と｜連絡《れんらく》が｜取《と》れるようになってすごく｜楽《たの》しい！,Scene1,FALSE,,,,,,,arasuzi_background,,,,,,,,
bad_grucya_story1,Scene1,start,,｜今日《きょう》もいつものメンバーとたくさん｜話《はな》したい！,Scene2,FALSE,,,,,,,arasuzi_background,,,,,,,,
bad_grucya_story1,Scene2,dialogue,コニー,やっと｜授業《じゅぎょう》｜終《お》わったー。｜疲《つか》れたね！,Scene3,FALSE,,,,,,,classroom,Three,Alec_normal,Cecil_smile,Cony_smile,,,,
bad_grucya_story1,Scene3,dialogue,アレック,ねえあれ｜見《み》て｜笑《わら》またカールが｜先生《せんせい》に｜質問《しつもん》してる｜笑《わら》,Scene4,FALSE,,,,,,,classroom,Three,Alec_normal,Cecil_smile,Cony_smile,,,,
bad_grucya_story1,Scene4,dialogue,コニー,,,TRUE,｜質問《しつもん》しすぎでしょ笑,1,Scene5,よく｜話《はな》しかけてるよね,0,Scene5,classroom,Three,Alec_normal,Cecil_smile,Cony_smile,,,,
bad_grucya_story1,Scene5,dialogue,セシル,｜授業《じゅぎょう》｜終《お》わりのこの｜時間《じかん》っていつもこうだよね,Scene6,FALSE,,,,,,,classroom,Three,Alec_smile,Cecil_smile,Cony_smile,,,,
bad_grucya_story1,Scene6,dialogue,アレック,これさ、カールタイムって｜名前《なまえ》つけようよ！,Scene7,FALSE,,,,,,,classroom,Three,Alec_smile,Cecil_smile,Cony_smile,,,,
bad_grucya_story1,Scene7,dialogue,セシル,これは｜私《わたし》たちだけの｜秘密《ひみつ》の｜呼《よ》び方にしよ｜笑《わら》,Scene8,FALSE,,,,,,,classroom,Three,Alec_smile,Cecil_smile,Cony_smile,,,,
bad_grucya_story1,Scene8,dialogue,コニー,,,TRUE,じゃあさこの3｜人《にん》でグループチャット｜作《つ》ろうよ！,0,Scene9,｜秘密《ひみつ》の｜話《はなし》ができるグルチャ｜欲《ほ》しい！,1,Scene9,classroom,Three,Alec_smile,Cecil_smile,Cony_smile,,,,
bad_grucya_story1,Scene9,chat,セシル,｜仲良《なかよ》しグル｜作《つく》ったよ！,Scene10,FALSE,,,,,,,chatBackground_04,,,,,,,,
bad_grucya_story1,Scene10,chat,コニー,,,TRUE,これで｜学校《がっこう》｜以外《いがい》でも3｜人《にん》だけで話｜《はな》せるね！,0,Scene11,このグルチャなら｜何《なに》を｜送《お》ってもバレないよね！,1,Scene12,chatBackground_04,,,,,,,,
bad_grucya_story1,Scene11,chat,アレック,｜学校《がっこう》じゃ｜話《はな》せないこともあるしね,Scene13,FALSE,,,,,,,chatBackground_04,,,,,,,,
bad_grucya_story1,Scene12,chat,セシル,｜私《わたし》たちしか｜見《み》れないから｜秘密《ひみつ》も｜話《はな》せるね！,Scene13,FALSE,,,,,,,chatBackground_04,,,,,,,,
bad_grucya_story1,Scene13,chat,アレック,てかカールってほんとやばいよね,Scene14,FALSE,,,,,,,chatBackground_04,,,,,,,,
bad_grucya_story1,Scene14,chat,コニー,,,TRUE,カールはみんなの｜時間《がっこう》｜取《と》ってることに｜気《き》づいてないのかな,1,Scene15,いつも｜丁寧《ていねい》に｜聞《き》いてるな〜とは｜思《おも》ってたけど…,0,Scene15,chatBackground_04,,,,,,,,
bad_grucya_story1,Scene15,chat,セシル,｜聞《き》くのはいいけど、1人で｜独占《どくせん》するのはズルい｜笑《わら》,Scene16,FALSE,,,,,,,chatBackground_04,,,,,,,,
bad_grucya_story1,Scene16,chat,コニー,,,TRUE,タイミングってあるよね,0,Scene17,｜当《あ》たり｜前《まえ》のことを｜聞《き》いてるのは｜本当《ほんとう》にやばい,1,Scene17,chatBackground_04,,,,,,,,
bad_grucya_story1,Scene17,chat,アレック,｜先生《せんせい》も｜優《やさ》しいから、｜止《と》めないんだよね〜｜笑《わら》,Scene18,FALSE,,,,,,,chatBackground_04,,,,,,,,
bad_grucya_story1,Scene18,chat,セシル,むしろ“いい｜質問《しつもん》だね”とか｜言《い》って、｜倍《ばい》くらい｜長《なが》くなるやつ｜笑《わら》,Scene19,FALSE,,,,,,,chatBackground_04,,,,,,,,
bad_grucya_story1,Scene19,chat,コニー,,,TRUE,まじそれなやばすぎ,1,Scene20,｜先生《せんせい》、｜話《はな》し｜始《はじ》めると｜楽《たの》しそうだもんね,0,Scene20,chatBackground_04,,,,,,,,
bad_grucya_story1,Scene20,chat,セシル,じゃあ｜毎日《まいにち》｜記録《きろく》つけようよ！,Scene21,FALSE,,,,,,,chatBackground_04,,,,,,,,
bad_grucya_story1,Scene21,chat,アレック,それ｜名案《めいあん》！,Scene22,FALSE,,,,,,,chatBackground_04,,,,,,,,
bad_grucya_story1,Scene22,chat,コニー,,,TRUE,｜私《わたし》｜記録係《きろくがかり》しまーす｜笑《わら》,1,end,｜記録《きろく》…？た、｜楽《た》しそう｜笑《わら》,0,end,chatBackground_04,,,,,,,,
