storyId,sceneId,viewType,characterName,dialogueText,nextSceneId,isChoice,choice1Text,choice1Percentage,choice1NextSceneId,choice2Text,choice2Percentage,choice2NextSceneId,background,TalkingPeople,LeftCharacter,CenterCharacter,RightCharacter,OneCharacter,TwoCharacter,OnePerson,bgm
bad_kakusan_story1,Scene0,start,コニー,｜今日《きょう》はセシルと｜遊《あそ》ぶために｜公園《こうえん》に｜来《き》たんだ！,Scene1,FALSE,,,,,,,arasuzi_background,,,,,,,,
bad_kakusan_story1,Scene1,start,コニー,｜最近《さいきん》｜流行《はや》ってるダンス｜動画《どうが》でも｜撮《と》ろっかな〜,Scene2,FALSE,,,,,,,arasuzi_background,,,,,,,,
bad_kakusan_story1,Scene2,dialogue,セシル,｜今日《きょう》｜何《なに》して｜遊《あそ》ぶ〜？,Scene3,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene3,dialogue,コニー,｜今日《きょう》は｜流行《はや》ってるダンス｜動画《どうが》｜撮《と》ろうよ！,Scene4,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene4,dialogue,セシル,じゃあ｜先《さき》に｜私《わたし》｜踊《おど》るから動画｜撮《と》っててよ！,Scene5,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene5,dialogue,コニー,もちろん！｜任《まか》せて！,Scene6,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene6,dialogue,,,Scene7,,,,,,,,park,,,,,,,,
bad_kakusan_story1,Scene7,dialogue,コニー,,,TRUE,やば！パンツ｜見《み》えてるよ｜笑《わら》,1,Scene8,｜風《かぜ》つよ！セシル｜大丈夫《だいじょうぶ》！？,0,Scene8,park,Two,,,,Cecil_smile,Cony_surprised,,
bad_kakusan_story1,Scene8,dialogue,セシル,やだ〜｜笑《わら》もう｜恥《はず》かしい,Scene9,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_surprised,,
bad_kakusan_story1,Scene9,dialogue,セシル,｜動画《どうが》は｜絶対《ぜったい》｜消《け》してね！！,Scene10,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene10,dialogue,コニー,,,TRUE,わかってるけど、｜面白《おもしろ》すぎるからみんなに｜送《おく》りたい｜笑《わら》,0,Scene11,（まじでセシル｜面白《おもしろ》い！この｜動画《どうが》｜勝手《かって》に｜広《ひろ》めちゃお）,1,Scene13,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene11,dialogue,セシル,えー！やめてよ！,Scene12,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene12,dialogue,コニー,はいはい、わかったよ,Scene13,FALSE,,,,,,,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene13,dialogue,コニー,,,TRUE,（まあいっか、みんなに｜送《おく》っちゃおう！）,1,Scene14,（ダメって｜言《い》われたけど｜許《ゆる》してくれるよね…！）,0,Scene14,park,Two,,,,Cecil_smile,Cony_smile,,
bad_kakusan_story1,Scene14,chat,コニー,この｜動画《どうが》｜見《み》て！,Scene15,FALSE,,,,,,,chatBackground,,,,,,,,
bad_kakusan_story1,Scene15,chat,アレック,よく｜見《み》たらパンツ｜見《み》えてるじゃん！！,Scene16,FALSE,,,,,,,chatBackground,,,,,,,,
bad_kakusan_story1,Scene16,chat,コニー,,,TRUE,これまじで｜内緒《ないしょ》だから！,1,Scene17,｜勝手《かって》にSNS｜載《の》せたいけどだめだからね！,0,Scene18,chatBackground,,,,,,,,
bad_kakusan_story1,Scene17,chat,アレック,まじ｜広《ひろ》めたい｜笑《わら》,Scene18,FALSE,,,,,,,chatBackground,,,,,,,,
bad_kakusan_story1,Scene18,chat,アレック,セシルって｜怒《おこ》れないしいいんじゃね！,Scene19,FALSE,,,,,,,chatBackground,,,,,,,,
bad_kakusan_story1,Scene19,chat,コニー,やっぱりアレックだけ｜送《おく》っちゃった！｜笑《わら》,Scene20,FALSE,,,,,,,chatBackground,,,,,,,,
bad_kakusan_story1,Scene20,chat,セシル,ちょっとやめてよー！,Scene21,FALSE,,,,,,,chatBackground,,,,,,,,
bad_kakusan_story1,Scene21,chat,コニー,,,TRUE,えー！いいじゃん！ほらみんな｜面白《おもしろ》いってるよ,0,Scene22,なんで！つまんないの〜,1,Scene22,chatBackground,,,,,,,,
bad_kakusan_story1,Scene22,chat,セシル,うん、でも｜恥《は》ずかしいから｜消《け》してほしいよ,Scene23,FALSE,,,,,,,chatBackground,,,,,,,,
bad_kakusan_story1,Scene23,chat,コニー,,,TRUE,わかった〜,0,Scene24,そこまで｜言《い》うなら｜仕方《しかた》ないな。,1,Scene24,chatBackground,,,,,,,,
bad_kakusan_story1,Scene24,chat,コニー,｜消《け》すね,Scene25,FALSE,,,,,,,chatBackground,,,,,,,,
bad_kakusan_story1,Scene25,chat,セシル,よかった〜ありがとう！,end,FALSE,,,,,,,chatBackground,,,,,,,,
