storyId,sceneId,viewType,characterName,dialogueText,nextSceneId,isChoice,choice1Text,choice1Percentage,choice1NextSceneId,choice2Text,choice2Percentage,choice2NextSceneId,background,TalkingPeople,LeftCharacter,CenterCharacter,RightCharacter,OneCharacter,TwoCharacter,OnePerson,bgm,groupName
bad_kakusan_story3,Scene0,start,コニー,SNSに｜載《の》せるって｜冗談《じょうだん》だと｜思《おも》ってた。,Scene1,FALSE,,,,,,,arasuzi_background,,,,,,,,arasuzi_bgm,
bad_kakusan_story3,Scene1,start,コニー,コニーも｜怒《おこ》らせてしまったしこれからどうしよう…,Scene2,FALSE,,,,,,,arasuzi_background,,,,,,,,arasuzi_bgm,
bad_kakusan_story3,Scene2,screen,,コニーとアレックの｜会話《かいわ》,Scene3,FALSE,,,,,,,school,,,,,,,,chat_bgm,アレック
bad_kakusan_story3,Scene3,chat,コニー,｜動画《どうが》バレないようにしてって｜言《い》ったよね？,Scene4,FALSE,,,,,,,chatBackground_04,,,,,,,,chat_bgm,アレック
bad_kakusan_story3,Scene4,chat,アレック,あの｜投稿《とうこう》｜見《み》た？（笑）,Scene5,FALSE,,,,,,,chatBackground_04,,,,,,,,chat_bgm,アレック
bad_kakusan_story3,Scene5,chat,コニー,,,TRUE,｜私《わたし》のせいになってるし。2人がSNSに｜載《の》せたんでしょ？,1,Scene6,｜冗談《じょうだん》だと｜思《おも》って｜止《と》めなかった｜私《わたし》も｜悪《わる》いけど｜最低《さいてい》だよ…,0,Scene7,chatBackground_04,,,,,,,,chat_bgm,アレック
bad_kakusan_story3,Scene6,chat,アレック,アップしたのはケビンだよ。,Scene7,FALSE,,,,,,,chatBackground_04,,,,,,,,chat_bgm,アレック
bad_kakusan_story3,Scene7,chat,アレック,ちなみにアップしたのはケビンね（笑）,Scene8,FALSE,,,,,,,chatBackground_04,,,,,,,,chat_bgm,アレック
bad_kakusan_story3,Scene8,chat,コニー,,,TRUE,｜早《はや》く｜消《け》そう,0,Scene9,｜全部《ぜんぶ》ケビンのせいだ,1,Scene9,chatBackground_04,,,,,,,,chat_bgm,アレック
bad_kakusan_story3,Scene9,chat,アレック,でももう｜動画《どうが》は｜完全《かんぜん》に｜消《き》えないしどうにもならないでしょ（笑）,Scene10,FALSE,,,,,,,chatBackground_04,,,,,,,,chat_bgm,アレック
bad_kakusan_story3,Scene10,chat,コニー,,,TRUE,｜他《ほか》に｜方法《ほうほう》はあるはず！,0,Scene11,｜完全《かんぜん》に｜消《き》えないなら｜仕方《しかた》ないか,1,Scene12,chatBackground_04,,,,,,,,chat_bgm,アレック
bad_kakusan_story3,Scene11,chat,アレック,｜一度《いちど》ネットに｜載《の》せた｜動画《どうが》は｜簡単《かんたん》に｜消《き》せないからね,Scene13,FALSE,,,,,,,chatBackground_04,,,,,,,,chat_bgm,アレック
bad_kakusan_story3,Scene12,chat,アレック,そうだよ｜諦《あきら》めよ（笑）,Scene13,FALSE,,,,,,,chatBackground_04,,,,,,,,chat_bgm,アレック
bad_kakusan_story3,Scene13,chat,アレック,どうせそのうちみんな｜忘《わす》れるからそれまで｜待《ま》てばいいよ,Scene14,FALSE,,,,,,,chatBackground_04,,,,,,,,chat_bgm,アレック
bad_kakusan_story3,Scene14,chat,コニー,,,TRUE,｜確《たし》かに…<br>セシルなら｜笑《わら》って｜許《ゆる》してくれそうだし,1,Scene15,｜私《わたし》｜最低《さいてい》なことした…,0,Scene15,chatBackground_04,,,,,,,,chat_bgm,アレック
bad_kakusan_story3,Scene15,screen,,あれから１｜週間後《しゅうかんご》、セシルはあの｜日《ひ》から｜学校《がっこう》に｜来《こ》なくなった…,Scene16,FALSE,,,,,,,school,,,,,,,,chat_bgm,アレック
bad_kakusan_story3,Scene16,screen,,１｜週間後《しゅうかんご》の｜学校《がっこう》,Scene17,FALSE,,,,,,,school,,,,,,,,classroom_bgm,
bad_kakusan_story3,Scene17,dialogue,ロビー,ねえ、コニーが｜動画《どうが》｜拡散《かくさん》したせいでセシルが｜学校《がっこう》に｜来《こ》れなくなったんでしょ？,Scene18,FALSE,,,,,,,classroom,Three,Robbbie_angry,Sandra_sorry,Cony_irritation,,,,classroom_bgm,
bad_kakusan_story3,Scene18,dialogue,コニー,,,TRUE,｜私《わたし》のせいじゃないから,0,Scene19,（｜何《なに》も｜言《い》わない）,1,Scene19,classroom,Three,Robbbie_angry,Sandra_sorry,Cony_sorry,,,,classroom_bgm,
bad_kakusan_story3,Scene19,dialogue,サンドラ,｜最初《さいしょ》に｜送《おく》ったのコニーでしょ？,Scene20,FALSE,,,,,,,classroom,Three,Robbbie_angry,Sandra_sorry,Cony_sorry,,,,classroom_bgm,
bad_kakusan_story3,Scene20,dialogue,ロビー,セシルが｜可哀想《かわいそう》,Scene21,FALSE,,,,,,,classroom,Three,Robbbie_angry,Sandra_sorry,Cony_sorry,,,,classroom_bgm,
bad_kakusan_story3,Scene21,dialogue,コニー,,,TRUE,で、でも…,0,Scene22,｜私《わたし》のせいじゃないって！！！,1,Scene22,classroom,Three,Robbbie_angry,Sandra_sorry,Cony_sorry,,,,classroom_bgm,
bad_kakusan_story3,Scene22,dialogue,先生,みんな｜静《しず》かにしてください。,Scene23,FALSE,,,,,,,classroom,"One
",,,,,,Teacher_irritation,classroom_bgm,
bad_kakusan_story3,Scene23,dialogue,先生,｜一度《いちど》ネットにアップすると｜完全《かんぜん》には｜消《きえ》せません。,Scene24,FALSE,,,,,,,classroom,"One
",,,,,,Teacher_irritation,classroom_bgm,
bad_kakusan_story3,Scene24,dialogue,先生,“｜面白《おもしろ》いから”という｜気持《きも》ちで｜投稿《とうこう》した｜動画《どうが》でも、｜本人《ほんにん》にとってはつらいものです。,Scene25,FALSE,,,,,,,classroom,"One
",,,,,,Teacher_irritation,classroom_bgm,
bad_kakusan_story3,Scene25,dialogue,コニー,私のせいでセシルを｜傷《きず》つけて、こんな｜大《おお》ごとになってしまった,Scene26,FALSE,,,,,,,matome_background,"One
",,,,,,Cony_sorry,matome_bgm,
bad_kakusan_story3,Scene26,dialogue,コニー,｜冗談《じょうだん》だと｜思《おも》ってたなんて｜言《い》い｜訳《わけ》にできないよね....,end,FALSE,,,,,,,matome_background,"One
",,,,,,Cony_sorry,matome_bgm,
